Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
1;2178;BIBLIOTECA ÁNGEL GONZALEZ;C/ GRANJA DE TORREHERMOSA, 2 ;434954;4472113;40.397.074.625.115.900;-37.664.885.474.841.500;;cultural; AG Cultura Turismo y Deportes ; Latina ;20,00;ORTIZ;31/07/2049
2;782;BIBLIOTECA IVÁN DE VARGAS;C/ DOCTOR LETAMENDI, 1;439775;4473962;4.041.410.290.844.660;-37.098.591.212.735.800;;cultural; AG Cultura Turismo y Deportes ; Centro ;20,00;ORTIZ;24/07/2049
3;2096;BIBLIOTECA EUGENIO TRIAS (CASA FIERAS);AV/ MENENDEZ PELAYO , 10-3 BJ ;442345;4474221;404.166.091.081.099;-36.795.930.368.034.800;;cultural; AG Cultura Turismo y Deportes ; Retiro ;20,00;ORTIZ;24/07/2049
4;1046;PLANETARIO;AV/ PLANETARIO 16;441830;4471375;40.390.944.081.814.800;-3.685.391.155.439.890;3.062;cultural; AG Cultura Turismo y Deportes ; Arganzuela ;25,00;FULTON;13/09/2049
5;2143;MADRID EMPRENDE;C/CIDRO, 3 ;436689;4468938;4.036.861.554.413.500;-374.573.026.512.817;;administrativo; AG Economía, Innovación y Empleo ; Carabanchel ;10,00;;20/09/2048
6;1779;MARES MADRID;C/ FRANCISCO LAGUNA 38;443153;4471330;40.390.628;-3.669.802;;administrativo; AG Economía, Innovación y Empleo ; Puente de Vallecas  ;5,00;ETRALUX;20/09/2048
7;2639;NAVE BOETTICHER;C/ CIFUENTES, 22 28021 MADRID;440849;4466524;40.347.177;-3.696.499;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;7,00;AURA;15/01/2049
8;;MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO;PASEO ALBERTO PALACIOS, 13;439657;4466414;40.346.099;-3.710.522;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;2,50;;13/08/2038
9;317;AULA DE LA NATURALEZA DEHESA DE LA VILLA;C/ FRANCOS RODRIGUEZ, 97 ;439102;4478967;4.045.914.104.116.340;-3.718.270.563.679.260;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5,00;;20/09/2048
10;;VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO;"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)";441779;4473428;4.040.943.503.279.110;-36.861.797.800.993.200;;medioambiental; AG de Medio Ambiente y Movilidad ; Retiro ;5,00;;20/09/2048
12;;VIVERO MUNICIPAL DE MIGAS CALIENTES;"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.";437394;4476508;4.043.686.257.147.040;-37.381.715.230.490.400;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5,00;;20/09/2048
13;;ROSALEDA DEL PARQUE DEL OESTE;"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)";438775;4475363;40.426.646;-3.721.771;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;17,50;SAVEFFI;11/06/2048
14;2520;ALMACÉN DE LA VILLA;C/ AHUMAOS, 27 28052 MADRID;449323;4471841;40.395.628;-3.597.144;;almacén; AG Obras y Equipamientos ; Vicálvaro ;20,00;PECSA;11/06/2048
15;1392;UID VILLA DE VALLECAS;AV/ REAL DE ARGANDA, 64   ;447969;4470229;40.379.145.542.145.500;-6,14E+15;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Villa de Vallecas ;6,00;AURA;14/02/2048
16;1704;BASE 14 SAMUR;C/ CASUARINA, 10;435024;4470233;40.380.148;-3.765.466;;sanitario; AG de Portavoz, Seguridad y Emergencias ; Latina ;9,90;POWEN;21/06/2048
17;1904;CENTRO PROTECCIÓN ANIMAL;CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054;433934;4468399;40.363.546.309.643.300;-3.778.110.067.286.680;;sanitario; MADRID SALUD ; Latina ;5,00;AURA;14/02/2050
18;1372;PARQUE BOMBEROS Nº 6;C/ SAN BERNARDO, 68 ;440066;4475362;4.042.673.583.114.150;-37.065.496.222.694.200;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Centro ;35,00;FERROVIAL;13/02/2048
19;594;PARQUE DE BOMBEROS Nº 7;Av Hellin, 52;447796;4475482;4.042.832.883.917.410;-36.154.373.664.644.300;;seguridad; AG de Portavoz, Seguridad y Emergencias ; San Blas Canillejas ;25,00;FERROVIAL;01/10/2049
20;351;PARQUE DE BOMBEROS Nº 11;C/ Mesena, 146;443623;4480593;4.047.409.889.540.650;-3.665.083.966.588.480;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Hortaleza ;17,00;;29/09/2038
21;2051;CSS JOSÉ VILLARREAL (ARGANZUELA);PLAZA JOSE VILLARREAL, 2 ;440953;4471932;4.039.401.854.488.280;-3.697.052.144.961.610;;social; JMD Arganzuela ; Arganzuela ;7,50;IMESAPI;07/05/2049
22;2440;EI LA MELONERA ;C/ EROS, 2;442243;4471700;4.039.390.298.324.830;-3.680.551.491.708.350;;educativo; JMD Arganzuela ; Arganzuela ;90,00;EULEN;12/02/2049
23;1541;CDM MARQUÉS DE SAMARANCH;Pº IMPERIAL 20;439131;4473248;4.040.761.501.410.640;-37.173.807.221.939.100;11.523;deportivo; JMD Arganzuela ; Arganzuela ;90,00;EULEN;10/03/2049
24;1119;CDI ARGANZUELA;C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16;440979;4472617;4.040.207.279.862.860;-36.955.325.387.824.000;12.470;mixto; JMD Arganzuela ; Arganzuela ;10,00;;28/02/2050
25;1916;CDM ARGANZUELA LA FUNDI;C/ ALICANTE , 14;441329;4471761;4.039.437.715.885.100;-3.691.341.060.146.100;;deportivo; JMD Arganzuela ; Arganzuela ;8,20;DRAGADOS;14/12/2049
26;853;CC Y BIBLIOTECA GLORIA FUERTES;AV/ LOGROÑO 181;449666;4479054;40.460.622.835.379.600;-35.936.877.657.335.900;;cultural; JMD Barajas ; Barajas ;11,70;EULEN;01/04/2049
