Número;Código Ayto;Centro;Dirección;Coordenada-X;Coordenada-Y;Latitud;Longitud;Superficie (m2);Uso del edificio;Adscripción;Distrito;Potencia KWp;Empresa instaladora;Puesta en servicio
1;2178;BIBLIOTECA ÁNGEL GONZALEZ;C/ GRANJA DE TORREHERMOSA, 2 ;434954;4472113;40.397074625115900;-3.7664885474841500;;cultural; AG Cultura Turismo y Deportes ; Latina ;20;ORTIZ;31/07/2049
2;782;BIBLIOTECA IVÁN DE VARGAS;C/ DOCTOR LETAMENDI, 1;439775;4473962;40.41410290844660;-3.7098591212735800;;cultural; AG Cultura Turismo y Deportes ; Centro ;20;ORTIZ;24/07/2049
3;2096;BIBLIOTECA EUGENIO TRIAS (CASA FIERAS);AV/ MENENDEZ PELAYO , 10-3 BJ ;442345;4474221;40.4166091081099;-3.6795930368034800;;cultural; AG Cultura Turismo y Deportes ; Retiro ;20;ORTIZ;24/07/2049
4;1046;PLANETARIO;AV/ PLANETARIO 16;441830;4471375;40.36861554413500;-3.74573026512817;3.062;cultural; AG Cultura Turismo y Deportes ; Arganzuela ;25;FULTON;13/09/2049
5;2143;MADRID EMPRENDE;C/CIDRO, 3 ;436689;4468938;40.390628;-3.669802;;administrativo; AG Economía, Innovación y Empleo ; Carabanchel ;10;;20/09/2048
6;1779;MARES MADRID;C/ FRANCISCO LAGUNA 38;443153;4471330;40.347177;-3.696499;;administrativo; AG Economía, Innovación y Empleo ; Puente de Vallecas  ;5;ETRALUX;20/09/2048
7;2639;NAVE BOETTICHER;C/ CIFUENTES, 22 28021 MADRID;440849;4466524;40.346099;-3.710522;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;7;AURA;15/01/2049
8;;MARES VILLAVERDE MAR DE ALIMENTACION Y CUIDADO;PASEO ALBERTO PALACIOS, 13;439657;4466414;40.45914104116340;-3.718270563679260;;administrativo; AG Economía, Innovación y Empleo ; Villaverde ;2,5;;13/08/2038
9;317;AULA DE LA NATURALEZA DEHESA DE LA VILLA;C/ FRANCOS RODRIGUEZ, 97 ;439102;4478967;40.40943503279110;-3.6861797800993200;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;20/09/2048
10;;VIVERO MUNICIPAL DE ESTUFAS DEL RETIRO;"Pza. del Ángel Caído. Parque del Retiro 
(Entrada al Retiro al final de la cuesta de Claudio Moyano)";441779;4473428;40.43686257147040;-3.7381715230490400;;medioambiental; AG de Medio Ambiente y Movilidad ; Retiro ;5;;20/09/2048
12;;VIVERO MUNICIPAL DE MIGAS CALIENTES;"Km. 22. M-30 (frente a palacio Moncloa)
 M-30 . Km. 21.600, calzada sur.";437394;4476508;40.426646;-3.721771;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;5;;20/09/2048
13;;ROSALEDA DEL PARQUE DEL OESTE;"c/ de la Rosaleda s/n. Rosaleda del Parque del Oeste
 (junto al teleférico)";438775;4475363;40.379145542145500;-3.6142474191270000;;medioambiental; AG de Medio Ambiente y Movilidad ; Moncloa Aravaca ;17,5;SAVEFFI;11/06/2048
14;2520;ALMACÉN DE LA VILLA;C/ AHUMAOS, 27 28052 MADRID;449323;4471841;40.380148;-3.765466;;almacén; AG Obras y Equipamientos ; Vicálvaro ;20;PECSA;11/06/2048
15;1392;UID VILLA DE VALLECAS;AV/ REAL DE ARGANDA, 64   ;447969;4470229;40.363546309643300;-3.778110067286680;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Villa de Vallecas ;6;AURA;14/02/2048
16;1704;BASE 14 SAMUR;C/ CASUARINA, 10;435024;4470233;40.42832883917410;-3.6154373664644300;;sanitario; AG de Portavoz, Seguridad y Emergencias ; Latina ;9,9;POWEN;21/06/2048
17;1904;CENTRO PROTECCIÓN ANIMAL;CARRETERA BARRIO DE LA FORTUNA, KM 10. 28054;433934;4468399;40.39401854488280;-3.697052144961610;;sanitario; MADRID SALUD ; Latina ;5;AURA;14/02/2050
18;1372;PARQUE BOMBEROS Nº 6;C/ SAN BERNARDO, 68 ;440066;4475362;40.39390298324830;-3.680551491708350;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Centro ;35;FERROVIAL;13/02/2048
19;594;PARQUE DE BOMBEROS Nº 7;Av Hellin, 52;447796;4475482;40.40761501410640;-3.7173807221939100;;seguridad; AG de Portavoz, Seguridad y Emergencias ; San Blas Canillejas ;25;FERROVIAL;01/10/2049
20;351;PARQUE DE BOMBEROS Nº 11;C/ Mesena, 146;443623;4480593;40.40207279862860;-3.6955325387824000;;seguridad; AG de Portavoz, Seguridad y Emergencias ; Hortaleza ;17;;29/09/2038
21;2051;CSS JOSÉ VILLARREAL (ARGANZUELA);PLAZA JOSE VILLARREAL, 2 ;440953;4471932;40.460622835379600;-3.5936877657335900;;social; JMD Arganzuela ; Arganzuela ;7,5;IMESAPI;07/05/2049
22;2440;EI LA MELONERA ;C/ EROS, 2;442243;4471700;40.474801968086500;-3.5796914517468600;;educativo; JMD Arganzuela ; Arganzuela ;90;EULEN;12/02/2049
23;1541;CDM MARQUÉS DE SAMARANCH;Pº IMPERIAL 20;439131;4473248;40.37690319217390;-3.741639735552090;11.523;deportivo; JMD Arganzuela ; Arganzuela ;90;EULEN;10/03/2049
24;1119;CDI ARGANZUELA;C/ CANARIAS, 17 Y PALOS DE LA FRONTERA, 16;440979;4472617;40.37420290010210;-3.7510337449848600;12.470;mixto; JMD Arganzuela ; Arganzuela ;10;;28/02/2050
25;1916;CDM ARGANZUELA LA FUNDI;C/ ALICANTE , 14;441329;4471761;40.39801608457680;-3.7352725040539500;;deportivo; JMD Arganzuela ; Arganzuela ;8,2;DRAGADOS;14/12/2049
26;853;CC Y BIBLIOTECA GLORIA FUERTES;AV/ LOGROÑO 181;449666;4479054;40.434103689530400;-3.7097392943348200;;cultural; JMD Barajas ; Barajas ;11,7;EULEN;01/04/2049
27;854;CMM ACUARIO;C/ ACUARIO, 27;450862;4480620;40.43599597484310;-3.636977491626700;;social; JMD Barajas ; Barajas ;5;;29/09/2038
28;2049;CC SAN FRANCISCO LA PRENSA;C/ALISEDA, 6 ;437044;4469856;40.42958439423380;-3.6413497414718700;;cultural; JMD Carabanchel ; Carabanchel ;3;AURA;25/09/2048
29;330;CSC GARCÍA LORCA;C/ EUGENIA DE MONTIJO, 105, B 1;436243;4469562;40.42447060804350;-3.6504253324201100;;cultural; JMD Carabanchel ; Carabanchel ;3;AURA;07/03/2049
30;974;ANTIGUO CANÓDROMO;C/ VÍA CARPETANA, 71;437604;4472194;40.45224737965270;-3.6580402287911900;;deportivo; JMD Carabanchel ; Carabanchel ;12,5;EULEN;14/12/2049
31;191;CEIP FERNANDO EL CATÓLICO;C/ FERNANDO EL CATÓLICO, 16;439802;4476182;40.423960764556200;-3.628588601009720;;educativo; JMD Chamberí ; Chamberí ;27,5;PECSA;24/10/2048
32;1104;JMD CIUDAD LINEAL (CMM, CC, BIBLIOTECA);C/ HERMANOS GARCÍA NOBLEJAS, 16;445975;4476345;40.42342659084210;-3.651841641389480;7.239;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;17,5;PECSA;21/01/2048
33;702;"CENTRO DE DÍA Y DE MAYORES ASCAO/
BIBLIOTECA PABLO NERUDA";C/ ASCAO, 2;445600;4475637;40.47248462688410;-3.716607833008470;3.542;mixto; JMD Ciudad Lineal ; Ciudad Lineal ;15;PECSA;22/08/2048
