Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Línea / Batería;Número de Plazas;Longitud Reserva;Texto_Cajetines;Longitud;Latitud
01.02;441044,0800000000;4475402,9205100000;01-01-2051;01  CENTRO;01-04 JUSTICIA;GENOVA, CALLE, DE;6;Taxi;Línea;2;13,2;;-3.6950238180;40.4271729930
01.04;439299,3600000000;4475722,8800000000;26-01-2051;01  CENTRO;01-05 UNIVERSIDAD;PRINCESA, CALLE, DE LA;56;Taxi;Línea;8;50,7;;-3.7156210780;40.4299304100
01.11 a;440968,6700000000;4474059,0000000000;03-05-2051;01  CENTRO;01-03 CORTES;DUQUE DE MEDINACELI, CALLE, DEL;6;Taxi;Línea;9;45,3;;-3.6957880290;40.4150614670
01.11 b;440974,8000000000;4474009,1300000000;03-03-2051;01  CENTRO;01-03 CORTES;DUQUE DE MEDINACELI, CALLE, DEL;12;Taxi;Línea;5;25;;-3.6957111950;40.4146122110
01.17;441329,9900000000;4475203,2051000000;21-12-2051;01  CENTRO;01-04 JUSTICIA;GENOVA, CALLE, DE;28;Taxi;Línea;5;25,83;;-3.6916350020;40.4253939590
01.18;439413,9205100000;4475737,0205100000;24-06-2051;01  CENTRO;01-05 UNIVERSIDAD;SERRANO JOVER, CALLE, DE;5;Taxi;Línea;6;30;;-3.7142720480;40.4300665440
01.24;439799,9900000000;4474569,2800000000;02-08-2051;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, CUESTA, DE;5;Taxi;Línea;3;15;;-3.7096102920;40.4195741400
01.29;439823,4600000000;4474828,0700000000;23-04-2051;01  CENTRO;01-01 PALACIO;ISABEL LA CATOLICA, CALLE, DE;19;Taxi;Línea;4;22,6;;-3.7093581330;40.4219073960
01.40;440311,3900000000;4474504,2800000000;08-02-2051;01  CENTRO;01-06 SOL;SALUD, CALLE, DE LA;9;Taxi;Línea;6;29,5;;-3.7035764160;40.4190257050
01.41;440618,7600000000;4474272,5400000000;24-04-2051;01  CENTRO;01-03 CORTES;ARLABAN, CALLE, DE;4;Taxi;Línea;3;17,1;;-3.6999319460;40.4169601920
01.45 a;440546,3500000000;4475327,2051000000;10-05-2051;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;3;Taxi;Línea;9;45;;-3.7008839730;40.4264556500
01.45 b;440622,7205100000;4475359,3600000000;01-07-2051;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;9;Taxi;Línea;2;10;LAB. DE 8 A 20 H. EXCEPTO TRANSPORTE URBANO DE MERCANCIAS PERMITIDO TAXIS DE MIERCOLES A DOMINGO DE 20 A 8 H;-3.6999867780;40.4267512390
01.46;440494,3900000000;4473973,0205100000;03-03-2051;01  CENTRO;01-03 CORTES;ANGEL, PLAZA, DEL;8;Taxi;Línea;2;19,9;;-3.7013698410;40.4142528520
01.51;439838,7205100000;4474684,3400000000;14-07-2051;01  CENTRO;01-01 PALACIO;SANTO DOMINGO, PLAZA, DE;9;Taxi;Línea;1;5;;-3.7091645310;40.4206142310
01.52;441211,7400000000;4473311,8500000000;09-02-2051;01  CENTRO;01-02 EMBAJADORES;EMPERADOR CARLOS V, PLAZA, DEL;8;Taxi;Línea;6;30;;-3.6928541410;40.4083481210
01.55;441059,6100000000;4474064,2600000000;28-01-2051;01  CENTRO;01-03 CORTES;CANOVAS DEL CASTILLO, PLAZA, DE;5;Taxi;Línea;4;20;;-3.6947166550;40.4151148670
