Barrio;Cantidad
VALVERDE;24
CUATRO CAMINOS;19
RECOLETOS;14
VALDEFUENTES;13
ALMAGRO;11
HISPANOAMÉRICA;11
GOYA;10
IBIZA;9
CASTELLANA;9
CASA DE CAMPO;9
EL PILAR;8
LA PAZ;8
MIRASIERRA;8
GUINDALERA;8
PALACIO;8
CORTES;7
EL VISO;7
COSTILLARES;7
CASTILLEJOS;7
CASTILLA;7
PROSPERIDAD;6
BUENAVISTA;6
RÍOS ROSAS;6
ÁGUILAS;6
CORRALEJOS;6
SIMANCAS;6
JUSTICIA;6
CIUDAD UNIVERSITARIA;5
TRAFALGAR;5
VALLEHERMOSO;5
NUEVA ESPAÑA;5
ENSANCHE DE VALLECAS;5
ATOCHA;5
ARAPILES;5
14-MARROQUINA;4
CASCO HISTÓRICO DE VALLECAS;4
ALAMEDA DE OSUNA;4
VALDEZARZA;4
LUCERO;4
PUERTA DEL ÁNGEL;4
CANILLAS;4
SANTA EUGENIA;4
SAN FERMÍN;4
LISTA;4
ESTRELLA;4
SAN JUAN BAUTISTA;4
ALUCHE;4
ROSAS;4
JERÓNIMOS;4
ARGÜELLES;4
SALVADOR;4
REJAS;4
VISTA ALEGRE;3
VENTAS;3
CASCO HISTÓRICO DE BARAJAS;3
CIUDAD JARDÍN;3
TIMÓN;3
ARAVACA;3
CASCO HISTÓRICO DE VILLAVERDE;3
PALOS DE MOGUER;3
QUINTANA;3
IMPERIAL;3
APÓSTOL SANTIAGO;3
EL GOLOSO;3
PINAR DEL REY;3
CONCEPCIÓN;3
ENTREVÍAS;2
PALOMERAS SURESTE;2
CASCO HISTÓRICO DE VICÁLVARO;2
PEÑAGRANDE;2
MOSCARDÓ;2
VALDEBERNARDO;2
EMBAJADORES;2
CANILLEJAS;2
PALOMERAS BAJAS;2
LEGAZPI;2
PUEBLO NUEVO;2
SAN ISIDRO;2
DELICIAS;2
PORTAZGO;2
AMPOSTA;2
PALOMAS;2
AEROPUERTO;2
BELLAS VISTAS;2
OPAÑEL;2
SAN PASCUAL;2
UNIVERSIDAD;2
NUMANCIA;2
ORCASUR;2
SOL;2
EL PLANTÍO;1
ABRANTES;1
FUENTE DEL BERRO;1
GAZTAMBIDE;1
14-FONTARRÓN;1
HELLÍN;1
NIÑO JESÚS;1
PIOVERA;1
CHOPERA;1
LOS ROSALES;1
ARCOS;1
VALDERRIVAS;1
14-PAVONES;1
PACÍFICO;1
VALDEMARÍN;1
FUENTELARREINA;1
LOS ÁNGELES;1
ALMENARA;1
COMILLA;1
